street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
23406 Kentworthy Ave,90710,HARBOR CITY,SingleFamily,2018,447077,1968,5662,1576,2,4,630361,Harbor City,neighborhood
7004 S San Pedro St,90003,LOS ANGELES,SingleFamily,2018,13520,1922,3499,872,1,3,341642,Southeast Los Angeles,neighborhood
20462 Kittridge St,91306,WINNETKA,SingleFamily,2018,248106,1956,7543,1853,2,3,639316,Winnetka,neighborhood
22206 Denker Ave,90501,TORRANCE,SingleFamily,2018,82580,1947,5143,924,1,2,522051,Harbor Gateway,neighborhood
3929 Minerva Ave,90066,LOS ANGELES,SingleFamily,2018,475465,1947,6610,1263,2,3,1426068,Mar Vista,neighborhood
4039 Sumac Dr,91403,SHERMAN OAKS,SingleFamily,2018,2039184,1983,13341,6823,5.5,5,4183290,Sherman Oaks,neighborhood
1033 N Mariposa Ave,90029,LOS ANGELES,MultiFamily2To4,2018,711060,1924,8255,2888,4,0,1368267,Hollywood,neighborhood
1145 S Kingsley Dr,90006,LOS ANGELES,MultiFamily2To4,2018,452598,1895,5898,1665,2,3,1229202,Harvard Heights,neighborhood
330 W 11th St APT 102,90015,Los Angeles,Condominium,NA,NA,2005,NA,1550,1.75,2,979617,Downtown,neighborhood
934 S Orange Grove Ave,90036,LOS ANGELES,Quadruplex,2018,419495,1929,6407,5352,4,8,2259351,Mid City,neighborhood
3022 Goodview Trl,90068,Los Angeles,SingleFamily,2018,35774,NA,2526,NA,NA,0,NA,Hollywood Hills,neighborhood
3747 Benedict Canyon Ln,91423,SHERMAN OAKS,SingleFamily,2018,1309163,1964,18295,2585,3,3,1715356,Sherman Oaks,neighborhood
1090 Hollybush Ln,90077,LOS ANGELES,SingleFamily,2018,832255,1977,2657,1966,3,2,1407487,Beverly Glen,neighborhood
40 29th Ave,90291,VENICE,Condominium,2018,498176,1970,3078,900,2,2,1340705,Venice,neighborhood
11339 Clybourn Ave,91342,SYLMAR,SingleFamily,2018,270088,1953,37755,1e3,1,3,571885,Lakeview Terrace,neighborhood
23251 Collins St,91367,WOODLAND HILLS,SingleFamily,2018,1359940,1963,19166,2571,3,3,1145922,Woodland Hills,neighborhood
3760 Redwood Ave,90066,LOS ANGELES,SingleFamily,2018,358216,1925,5280,1088,2,2,1460223,Mar Vista,neighborhood
801 N Mott St,90033,LOS ANGELES,Triplex,2018,439129,1923,7003,2548,3,4,692867,Boyle Heights,neighborhood
13258 Mission Tierra Way,91344,GRANADA HILLS,SingleFamily,2018,385024,1978,8086,2746,3,4,835260,Granada Hills,neighborhood
13258 La Tierra Way,91342,SYLMAR,SingleFamily,2018,435715,2002,3589145,2600,2.5,4,662816,Sylmar,neighborhood
9539 Langdon Ave,91343,NORTH HILLS,SingleFamily,2018,711158,1954,34455,2024,3,4,768375,North Hills,neighborhood
2207 Malcolm Ave,90064,LOS ANGELES,SingleFamily,2018,1075177,1930,5405,4227,6,5,3247151,West Los Angeles,neighborhood
11661 Cetona Way,91326,Northridge,Condominium,2018,1020773,2014,7531,3134,4,4,1150976,Porter Ranch,neighborhood
11661 Cetona Way,91326,Porter Ranch,SingleFamily,NA,NA,NA,NA,3099,3.5,4,1074328,Porter Ranch,neighborhood
21 Mast St,90292,MARINA DEL REY,MultiFamily2To4,2018,761327,1966,3085,1050,2,2,2300231,Venice,neighborhood
21 Mast St # 1/2,90292,Marina Del Rey,Apartment,NA,NA,1966,NA,1400,2,3,NA,Venice,neighborhood
3516 E 3rd St,90063,LOS ANGELES,SingleFamily,2018,39373,1914,8174,1147,1,2,451973,Boyle Heights,neighborhood
1825 Bellevue Ave,90026,LOS ANGELES,SingleFamily,2018,291054,1900,5612,1940,1,4,912315,Echo Park,neighborhood
7416 Sylvia Ave,91335,RESEDA,SingleFamily,2018,357667,1955,10799,1570,2,3,621696,Reseda,neighborhood
22654 Sherman Way,91307,WEST HILLS,SingleFamily,2018,205571,1958,7911,1396,2,3,634881,West Hills,neighborhood
1024 S Wooster St,90035,LOS ANGELES,Quadruplex,2018,272051,1929,7048,4286,4,4,2252445,Pico-Robertson,neighborhood
700 W 9th St APT 3002,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,1665,2,2,NA,Downtown,neighborhood
705 W 9th St APT 3002,90015,Los Angeles,Apartment,NA,NA,2010,NA,862,1,1,NA,Downtown,neighborhood
5929 Adler Ave,91367,WOODLAND HILLS,SingleFamily,2018,101212,1959,8530,1895,3,4,823965,Woodland Hills,neighborhood
8977 Gullo Ave,91331,Arleta,SingleFamily,2018,181926,1952,5917,1391,2,4,510915,Arleta,neighborhood
7940 Yolanda Ave,91335,RESEDA,SingleFamily,2018,336423,1977,8969,1648,2,4,603210,Reseda,neighborhood
4628 Balboa Ave,91316,ENCINO,SingleFamily,2018,230620,1954,28400,2747,3,4,1984242,Encino,neighborhood
5425 Biloxi Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,298605,1937,6073,1165,2,2,695916,North Hollywood,neighborhood
12027 Talus Pl,90210,BEVERLY HILLS,SingleFamily,2018,1686341,1986,12610,6274,7,5,6546643,Studio City,neighborhood
2650 S Harvard Blvd,90018,LOS ANGELES,Quadruplex,2018,215225,1922,7489,3468,4,4,1019045,Adams-Normandie,neighborhood
3322 Thelma Ave,90032,LOS ANGELES,SingleFamily,2018,299634,1946,4804,1682,2,3,656290,El Sereno,neighborhood
22457 Berdon St,91367,WOODLAND HILLS,SingleFamily,2018,69757,1953,6761,1426,2,2,673466,Woodland Hills,neighborhood
1110 S Oxford Ave,90006,LOS ANGELES,MultiFamily2To4,2018,279062,1921,21793,1344,2,4,1506811,Mid City,neighborhood
834 W 95th St,90044,LOS ANGELES,SingleFamily,2018,41529,1952,4861,1745,2,4,512989,South Los Angeles,neighborhood
1826 Pomeroy Ave,90033,LOS ANGELES,Duplex,2018,43786,1923,4755,1178,2,4,504978,Lincoln Heights,neighborhood
7052 Wortser Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,217724,1955,7478,1531,2,3,610957,Valley Glen,neighborhood
8227 Jellico Ave,91325,NORTHRIDGE,SingleFamily,2018,404195,1952,6054,908,1,2,502796,Lake Balboa,neighborhood
5938 Colbath Ave,91401,Valley Glen,SingleFamily,2018,502777,1961,6460,1912,3,3,817891,Valley Glen,neighborhood
428 E 60th St,90003,LOS ANGELES,MultiFamily2To4,2018,131733,1912,5400,1206,2,2,403941,Southeast Los Angeles,neighborhood
2017 W 94th Pl,90047,LOS ANGELES,SingleFamily,2018,46275,1944,5150,1090,1,3,466808,South Los Angeles,neighborhood
1601 Dalmatia Dr,90732,SAN PEDRO,Condominium,2018,505e3,1979,436585,1429,3,2,542926,San Pedro,neighborhood
15609 Crestview Ln # 84,91344,GRANADA HILLS,Condominium,2018,150362,1979,785445,1204,2,2,436966,Granada Hills,neighborhood
1674 W Washington Blvd,90007,Los Angeles,SingleFamily,2018,107335,NA,6557,NA,NA,0,844425,Adams-Normandie,neighborhood
3404 Federal Ave,90066,LOS ANGELES,SingleFamily,2018,756439,1946,6e3,2109,3,3,1776193,Mar Vista,neighborhood
4731 Tyrone Ave,91423,SHERMAN OAKS,SingleFamily,2018,874684,1960,13534,1831,2,3,1132100,Sherman Oaks,neighborhood
14642 Chatsworth St,91345,MISSION HILLS,SingleFamily,2018,136234,1955,7449,2421,2,5,624586,Mission Hills,neighborhood
13920 Olive Grove Ln,91342,SYLMAR,Condominium,2018,184607,1984,320644,1397,2,3,430131,Sylmar,neighborhood
1475 Silver Lake Blvd,90026,LOS ANGELES,Duplex,2018,329741,1927,4597,1422,2,3,1074152,Silver Lake,neighborhood
19816 Needles St,91311,CHATSWORTH,SingleFamily,2018,662260,1958,8092,2402,3,5,769099,Chatsworth,neighborhood
5028 Brewster Dr,91356,TARZANA,SingleFamily,2018,210031,1964,18011,2917,4,5,1431459,Tarzana,neighborhood
4352 Latona Ave,90031,Los Angeles,SingleFamily,2018,6225,NA,8044,NA,NA,0,NA,Montecito Heights,neighborhood
10507 Moorpark St,91602,Toluca Lake,SingleFamily,2018,895710,1940,6446,1460,1.5,2,1171673,Toluca Lake,neighborhood
10822 Bothwell Rd,91311,CHATSWORTH,SingleFamily,2018,915958,1965,16704,3800,5,5,1130299,Northridge,neighborhood
7714 Bothwell Rd,91335,RESEDA,SingleFamily,2018,190121,1952,7844,1151,1,3,515593,Reseda,neighborhood
8051 Graystone St,91040,SUNLAND,SingleFamily,2018,260722,1953,6e3,1194,2,3,637544,Sunland,neighborhood
17548 Lahey St,91344,GRANADA HILLS,SingleFamily,2018,614011,1960,18500,2965,3,4,942395,Granada Hills,neighborhood
10934 Etiwanda Ave,91326,Northridge,Unknown,NA,NA,1957,11180,1600,2,3,689830,Northridge,neighborhood
3523 Griffin Ave,90031,LOS ANGELES,SingleFamily,2018,173137,1921,5855,1050,NA,3,603685,Lincoln Heights,neighborhood
705 E 108th St,90059,LOS ANGELES,MultiFamily2To4,2018,288660,1948,2874,1,2,3,392887,Southeast Los Angeles,neighborhood
2120 Narcissus Ct,90291,Venice,SingleFamily,NA,NA,2003,1936,2969,4,2,3315234,Venice,neighborhood
7765 W 91st St UNIT A2120,90293,Los Angeles,Condominium,2018,414630,1971,311644,718,1,1,439547,Playa Del Rey,neighborhood
22901 Vanowen St,91307,WEST HILLS,MultiFamily2To4,2018,414005,1971,8160,950,2,2,558865,West Hills,neighborhood
22901 Vanowen St APT 1,91307,West Hills,MultiFamily2To4,NA,NA,1971,NA,1800,2,3,714937,West Hills,neighborhood
22901 Vanowen St APT 4,91307,West Hills,MultiFamily2To4,NA,NA,1971,NA,950,2,2,594355,West Hills,neighborhood
22901 Vanowen St APT 3,91307,West Hills,Condominium,NA,NA,1971,NA,950,2,2,414037,West Hills,neighborhood
2132 Sunset Crest Dr,90046,LOS ANGELES,SingleFamily,2018,126e3,1963,10267,2013,2,3,1786645,Beverly Crest,neighborhood
7853 Hesperia Ave,91335,RESEDA,SingleFamily,2018,591e3,1954,5999,1565,3,5,566882,Reseda,neighborhood
2005 Fairburn Ave,90025,LOS ANGELES,SingleFamily,2018,672748,1940,6075,1504,2,3,1715427,West Los Angeles,neighborhood
5211 Lankershim Blvd,91601,North Hollywood,SingleFamily,2018,263432,1936,6378,5346,NA,0,NA,North Hollywood,neighborhood
858 N Ogden Dr,90046,LOS ANGELES,Duplex,2018,269803,1923,6636,2008,2,4,1822809,Mid City West,neighborhood
246 E 81st St,90003,LOS ANGELES,Townhouse,2018,424e3,1939,5078,1200,1,3,387195,Southeast Los Angeles,neighborhood
8520 Bothwell Rd,91324,NORTHRIDGE,SingleFamily,2018,103655,1957,8368,1862,2,4,625806,Northridge,neighborhood
1444 Alvira St,90035,LOS ANGELES,SingleFamily,2018,187305,1926,3e3,942,1,2,1264507,Pico-Robertson,neighborhood
5841 S Normandie Ave,90044,Los Angeles,VacantResidentialLand,NA,NA,NA,5301,NA,NA,NA,NA,South Los Angeles,neighborhood
15602 W Lilli Way,91406,Van Nuys,SingleFamily,2018,484855,2017,NA,2310,3,4,807149,Lake Balboa,neighborhood
2900 S San Pedro St,90011,Los Angeles,SingleFamily,2018,27742,1911,1782,2529,NA,0,NA,Central City,neighborhood
3533 E 7th St,90023,LOS ANGELES,Duplex,2018,624533,1914,8660,1917,2,5,584863,Boyle Heights,neighborhood
432 S Lucerne Blvd,90020,LOS ANGELES,SingleFamily,2018,665318,1915,14380,3439,4,3,3344840,Mid Wilshire,neighborhood
6933 Amigo Ave,91335,Reseda,SingleFamily,NA,NA,NA,NA,NA,1,2,573975,Reseda,neighborhood
2524 S Redondo Blvd,90016,LOS ANGELES,SingleFamily,2018,53698,1922,4610,1184,1,3,600833,West Adams,neighborhood
14593 Lyle St,91342,SYLMAR,SingleFamily,2018,210425,1959,7787,1765,2,4,553049,Sylmar,neighborhood
11429 Biona Dr,90066,LOS ANGELES,SingleFamily,2018,1375e3,1949,5100,1377,2,3,1409734,Mar Vista,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,26484,1981,NA,1650,NA,0,182655,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,23987,1998,NA,960,NA,0,191541,Mission Hills,neighborhood
10900 Sepulveda Blvd # 8,91345,Mission Hills,Mobile,2018,9237,1965,NA,624,NA,0,195239,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,15160,1968,NA,1080,NA,0,191097,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,35626,1992,NA,1344,NA,0,171548,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,12424,1965,NA,1248,NA,0,187475,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,9618,1966,NA,1080,NA,0,190833,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,31395,1981,NA,1296,NA,0,175239,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,21853,2002,NA,1152,NA,0,176962,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,28858,1982,NA,1168,NA,0,177733,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,16488,1985,NA,1200,NA,0,177738,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,8488,1967,NA,1040,NA,0,198176,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,20885,1989,NA,960,NA,0,191110,Mission Hills,neighborhood
10900 Sepulveda Blvd,91345,Mission Hills,Mobile,2018,26528,1984,NA,1224,NA,0,177806,Mission Hills,neighborhood
10900 Sepulveda Blvd # 40,91345,Mission Hills,Mobile,2018,37883,2004,NA,1224,NA,0,177288,Mission Hills,neighborhood
6935 Wish Ave,91406,VAN NUYS,SingleFamily,2018,685472,1947,19625,4872,4,7,1304679,Lake Balboa,neighborhood
644 E 48th St,90011,LOS ANGELES,Duplex,2018,265510,1923,6599,2217,4,7,578013,Southeast Los Angeles,neighborhood
2800 S Grand Ave,90007,Los Angeles,SingleFamily,2018,556046,1905,7995,6836,NA,0,NA,Central City,neighborhood
2004 S Longwood Ave,90016,LOS ANGELES,MultiFamily2To4,2018,602398,1928,6609,3965,3,6,1178402,Mid City,neighborhood
4545 Fulton Ave,91423,Sherman Oaks,Townhouse,NA,NA,1948,NA,NA,1,2,628302,Sherman Oaks,neighborhood
327 E 113th St,90061,LOS ANGELES,SingleFamily,2018,89222,1926,7207,696,1,2,346907,Southeast Los Angeles,neighborhood
7127 Yolanda Ave,91335,RESEDA,SingleFamily,2018,476e3,1948,8101,1091,2,2,524727,Reseda,neighborhood
750 N Crescent Heights Blvd,90046,LOS ANGELES,SingleFamily,2018,2077584,2016,6550,4e3,5.5,5,3699075,Mid City West,neighborhood
12400 Haley St,91352,SUN VALLEY,SingleFamily,2018,184477,1954,7040,1399,2,4,523636,Sun Valley,neighborhood
1126 E 45th St,90011,LOS ANGELES,Duplex,2018,295224,1895,8318,4418,2,8,691339,Southeast Los Angeles,neighborhood
1033 Hilgard Ave APT 102,90024,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Westwood,neighborhood
4501 Canoga Dr,91364,WOODLAND HILLS,SingleFamily,2018,195895,1961,9046,1851,2,4,855353,Woodland Hills,neighborhood
5320 Templeton St,90032,LOS ANGELES,Duplex,2018,216749,1911,7499,1888,2,4,657828,El Sereno,neighborhood
4620 Kingswell Ave,90027,LOS ANGELES,Duplex,2018,86936,1906,7160,1798,2,4,1266289,Los Feliz,neighborhood
1612 S Sherbourne Dr,90035,LOS ANGELES,SingleFamily,2018,1040400,1928,6499,1438,2,3,1572819,Pico-Robertson,neighborhood
7250 Caldus Ave,91406,VAN NUYS,SingleFamily,2018,158429,1950,6e3,895,1,2,465437,Lake Balboa,neighborhood
2701 Edwin Pl,90046,LOS ANGELES,SingleFamily,2018,1069218,1970,15130,3112,5,5,4181102,Beverly Crest,neighborhood
5136 Rockland Ave,90041,LOS ANGELES,SingleFamily,2018,131998,1909,7003,2082,2,3,1211758,Eagle Rock,neighborhood
5119 Rockland Ave,90041,Eagle Rock,Unknown,NA,NA,1921,6818,861,1,2,879704,Eagle Rock,neighborhood
4516 Huntington Dr N,90032,LOS ANGELES,SingleFamily,2018,310279,1925,2352,1741,2,4,622978,Montecito Heights,neighborhood
4516 Huntington Dr,90032,Los Angeles,SingleFamily,NA,NA,1925,2178,1710,2,4,632691,Montecito Heights,neighborhood
1681 W 25th St,90007,LOS ANGELES,SingleFamily,2018,57617,1903,6250,3128,1,6,952637,Adams-Normandie,neighborhood
1250 N Citrus Ave,90038,Los Angeles,SingleFamily,NA,NA,NA,NA,1100,1,2,1363908,Hollywood,neighborhood
5938 S Flower St,90003,LOS ANGELES,SingleFamily,2018,55377,1909,4999,1204,1,3,378300,South Los Angeles,neighborhood
1729 W 35th Pl,90018,LOS ANGELES,Duplex,2018,350034,1912,6800,1797,2,5,752508,South Los Angeles,neighborhood
331 N Arden Blvd,90004,LOS ANGELES,SingleFamily,2018,1381196,1921,11071,1896,2,3,1957562,Mid Wilshire,neighborhood
8646 Olin St,90034,LOS ANGELES,SingleFamily,2018,461769,1932,8296,1960,3,4,1313505,Palms,neighborhood
244 S Larchmont Blvd,90004,LOS ANGELES,SingleFamily,2018,856010,1921,8098,3002,4,4,2494162,Mid Wilshire,neighborhood
2440 Mccready Ave,90039,LOS ANGELES,SingleFamily,2018,425487,1937,5199,1372,1,2,1299203,Silver Lake,neighborhood
802 E 74th St,90001,LOS ANGELES,Duplex,2018,60656,1924,3135,1312,2,2,408865,Southeast Los Angeles,neighborhood
16436 Tulsa St,91344,GRANADA HILLS,SingleFamily,2018,490541,1955,7744,2206,3,5,661816,Granada Hills,neighborhood
3419 Tyburn St,90039,LOS ANGELES,Duplex,2018,165092,1924,3849,1133,2,2,855132,Atwater Village,neighborhood
13312 Frederick Way,91342,SYLMAR,SingleFamily,2018,310604,2012,19679,1415,2.5,3,506404,Sylmar,neighborhood
905 W 77th St,90044,LOS ANGELES,Duplex,2018,204101,1997,5609,2004,2,4,538525,South Los Angeles,neighborhood
1110 W 69th St,90044,LOS ANGELES,SingleFamily,2018,253857,1913,4679,981,1,3,426322,South Los Angeles,neighborhood
1330 S Cabrillo Ave,90731,SAN PEDRO,SingleFamily,2018,149128,2002,1280,859,2,3,499796,San Pedro,neighborhood
230 E 75th St,90003,LOS ANGELES,SingleFamily,2018,20839,1920,5100,790,1,2,352905,Southeast Los Angeles,neighborhood
12901 Borden Ave,91342,SYLMAR,SingleFamily,2018,495e3,1936,4978,1398,2,3,499871,Sylmar,neighborhood
1354 S Curson Ave,90019,LOS ANGELES,SingleFamily,2018,412289,1927,5739,1592,2,3,1285881,Mid City,neighborhood
10529 Tennessee Ave,90064,LOS ANGELES,SingleFamily,2018,862375,1924,6203,1549,2,2,1755790,West Los Angeles,neighborhood
12075 Laurel Terrace Dr,91604,STUDIO CITY,SingleFamily,2018,891340,1933,10801,2208,2,2,1516030,Studio City,neighborhood
5819 6th Ave,90043,LOS ANGELES,SingleFamily,2018,38507,1923,4801,1290,1,3,494472,Hyde Park,neighborhood
2261 E 108th St,90059,LOS ANGELES,SingleFamily,2018,210084,1961,3136,1112,1,3,338436,Watts,neighborhood
14555 Morrison St,91403,SHERMAN OAKS,SingleFamily,2018,302558,1953,6001,1240,2,3,880981,Sherman Oaks,neighborhood
724 W 109th St,90044,LOS ANGELES,SingleFamily,2018,166575,1937,6397,1598,2,3,486541,South Los Angeles,neighborhood
Ruffner Ave,91344,GRANADA HILLS,SingleFamily,2018,553e3,1959,7696,1393,2,3,NA,Granada Hills,neighborhood
7309 Ruffner Ave,91406,VAN NUYS,SingleFamily,2018,298605,1954,6664,1386,2,3,620275,Lake Balboa,neighborhood
6906 Cedros Ave,91405,VAN NUYS,SingleFamily,2018,235596,1942,8099,1601,2,4,629022,Van Nuys,neighborhood
13163 Fernmont St,91342,SYLMAR,SingleFamily,2018,81145,1960,7885,1316,2,3,520052,Sylmar,neighborhood
8960 Megan Ave,91304,CANOGA PARK,SingleFamily,2018,67e4,1969,23958,2035,2.5,4,785688,West Hills,neighborhood
7800 Oceanus Dr,90046,LOS ANGELES,SingleFamily,2018,2134672,1977,8849,4118,6,4,3391452,Hollywood Hills,neighborhood
19256 Northfleet Way,91356,TARZANA,SingleFamily,2018,1017131,1995,17907,4050,5,4,2053835,Tarzana,neighborhood
4044 Barrett Rd,90032,LOS ANGELES,SingleFamily,2018,136384,1922,5276,1234,1,3,662434,El Sereno,neighborhood
1919 Alta St,90031,LOS ANGELES,Duplex,2018,214695,1913,5996,1872,2,4,615282,Lincoln Heights,neighborhood
420 E Rustic Rd,90402,Santa Monica,SingleFamily,2018,4688580,2011,NA,4996,4,4,8108523,Pacific Palisades,neighborhood
716 S Orange Grove Ave,90036,LOS ANGELES,Triplex,2018,293212,1928,9481,5522,4,8,2426725,Mid City,neighborhood
2124 S Central Ave,90011,Los Angeles,SingleFamily,2018,265938,1905,5072,3212,2,4,NA,Central City,neighborhood
1460 W 55th St,90062,LOS ANGELES,SingleFamily,2018,43e4,1912,4960,1410,1,3,471253,South Los Angeles,neighborhood
330 N La Brea Ave,90036,Los Angeles,SingleFamily,2018,715150,1928,4200,6190,NA,0,NA,Mid Wilshire,neighborhood
20947 Hemmingway St,91304,CANOGA PARK,Miscellaneous,2018,264738,1958,7524,1440,3,4,NA,Canoga Park,neighborhood
10346 Helendale Ave,91042,TUJUNGA,SingleFamily,2018,49387,1950,4892,877,1,2,530065,Tujunga,neighborhood
1977 Coldwater Canyon Dr,90210,BEVERLY HILLS,SingleFamily,2018,1317399,1921,19516,4200,6,5,4959347,Beverly Crest,neighborhood
4517 Prospect Ave APT 7,90027,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,1e3,2,3,NA,Los Feliz,neighborhood
2517 Greenfield Ave,90064,LOS ANGELES,SingleFamily,2018,826035,1926,6315,2e3,3,3,1793200,Cheviot Hills,neighborhood
23538 Styles St,91367,WOODLAND HILLS,SingleFamily,2018,609e3,1959,7622,1404,2,4,700803,Woodland Hills,neighborhood
13623 Sylvan St,91401,VAN NUYS,SingleFamily,2018,654751,1951,5702,1696,2,3,790033,Valley Glen,neighborhood
1163 N Kenmore Ave,90029,LOS ANGELES,SingleFamily,2018,826526,1925,7540,1600,3,3,1251118,Hollywood,neighborhood
12630 Bradley Ave,91342,SYLMAR,SingleFamily,2018,473e3,1952,5199,1084,1,3,469611,Sylmar,neighborhood
4218 Manson Ave,91364,WOODLAND HILLS,SingleFamily,2018,105637,1959,19318,2084,2,3,983930,Woodland Hills,neighborhood
8917 S Saint Andrews Pl,90047,Los Angeles,SingleFamily,2018,35928,1930,5401,944,1,2,443556,South Los Angeles,neighborhood
11617 Shelly Vista Dr,91042,TUJUNGA,SingleFamily,2018,220880,1973,11548,2217,3,4,842976,Tujunga,neighborhood
15652 Lemarsh St,91343,NORTH HILLS,SingleFamily,2018,436968,1948,5965,1072,1,2,479519,North Hills,neighborhood
1049 S Hobart Blvd # 205,90006,LOS ANGELES,Condominium,2018,369803,2006,12419,1170,2,2,582705,Mid City,neighborhood
1029 S Hobart Blvd APT 205,90006,Los Angeles,Condominium,2018,441297,2009,12419,1150,2,2,609977,Mid City,neighborhood
635 S Hobart Blvd APT 205,90005,Los Angeles,Apartment,NA,NA,2008,NA,1e3,2,2,NA,Koreatown,neighborhood
1029 S Hobart Blvd # 205,90006,Los Angeles,Condominium,NA,NA,2009,NA,1309,2,2,653631,Mid City,neighborhood
13721 Mindora Ave,91342,SYLMAR,SingleFamily,2018,159301,1997,7488,1360,2,3,533856,Sylmar,neighborhood
1013 Sandwood Pl,90731,SAN PEDRO,SingleFamily,2018,177129,1962,5242,1430,2,4,703856,San Pedro,neighborhood
1013 Englander St,90731,SAN PEDRO,SingleFamily,2018,471667,1962,5250,2100,2,3,769572,San Pedro,neighborhood
1013 Statler St,90731,SAN PEDRO,SingleFamily,2018,349412,1962,5249,1506,2,3,706350,San Pedro,neighborhood
1013 Millmark Grove St,90731,SAN PEDRO,SingleFamily,2018,370628,1961,5815,1856,2,4,729236,San Pedro,neighborhood
1013 W Bloomwood Rd,90731,SAN PEDRO,SingleFamily,2018,82048,1961,5746,1328,2,3,683609,San Pedro,neighborhood
1013 S Leland St,90731,SAN PEDRO,Triplex,2018,384278,1922,6750,2936,4,5,928608,San Pedro,neighborhood
4865 Glencairn Rd,90027,LOS ANGELES,SingleFamily,2018,2024069,1939,16613,2136,3,4,2523972,Los Feliz,neighborhood
1636 W 20th St,90007,LOS ANGELES,SingleFamily,2018,153925,1903,9085,1530,2,3,713800,Adams-Normandie,neighborhood
8027 Hinds Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,323313,1947,6534,1355,2,2,539551,Sun Valley,neighborhood
1615 S New Hampshire Ave,90006,Los Angeles,Apartment,2018,172950,1906,6551,4646,5,2,NA,Harvard Heights,neighborhood
1315 N Ogden Dr,90046,West Hollywood,SingleFamily,2018,325554,1919,6756,1120,2,2,1638446,Hollywood,neighborhood
141 N Saint Andrews Pl,90004,Los Angeles,SingleFamily,2018,143277,1912,7915,1683,1,2,1600833,Mid Wilshire,neighborhood
11446 Clybourn Ave,91342,SYLMAR,SingleFamily,2018,6e5,1955,15866,1392,1,2,644244,Lakeview Terrace,neighborhood
3444 Maplewood Ave,90066,LOS ANGELES,SingleFamily,2018,606289,1948,4999,1416,2,2,1738188,Mar Vista,neighborhood
2926 Greenfield Ave,90064,LOS ANGELES,SingleFamily,2018,97122,1949,5705,1405,2,4,1117732,Palms,neighborhood
1450 N Fries Ave,90744,WILMINGTON,SingleFamily,2018,436e3,1928,5330,1248,2,3,479632,Wilmington,neighborhood
7620 S Vermont Ave,90044,LOS ANGELES,SingleFamily,2018,135700,1924,5601,960,2,2,414648,South Los Angeles,neighborhood
1610 S Vermont Ave,90006,LOS ANGELES,SingleFamily,2018,34490,NA,6771,NA,NA,NA,NA,Harvard Heights,neighborhood
2138 Cambridge St,90006,LOS ANGELES,Quadruplex,2018,289326,1908,8381,4236,4,4,1090601,Harvard Heights,neighborhood
4800 Abbeyville Ave,91364,WOODLAND HILLS,SingleFamily,2018,383001,1958,10624,1952,2,4,905764,Woodland Hills,neighborhood
618 W 38th St,90731,SAN PEDRO,SingleFamily,2018,204165,1921,6501,1500,2,3,725092,San Pedro,neighborhood
6972 Woodlake Ave,91307,WEST HILLS,SingleFamily,2018,281852,1958,7453,1448,2,4,664718,West Hills,neighborhood
2317 E 3rd St,90033,LOS ANGELES,Apartment,2018,353301,1903,7385,3316,4,8,NA,Boyle Heights,neighborhood
7706 Boeing Ave,90045,LOS ANGELES,SingleFamily,2018,700923,1951,9806,2156,3,3,1471711,Westchester,neighborhood
1076 Nowita Pl,90291,VENICE,SingleFamily,2018,936151,2008,4778,2e3,3,4,2368833,Venice,neighborhood
19034 Ashurst Ln,91356,TARZANA,SingleFamily,2018,2575500,2001,46769,5540,6,5,2938073,Tarzana,neighborhood
1343 S Cloverdale Ave,90019,LOS ANGELES,Duplex,2018,321189,NA,6909,3002,4,6,1376236,Mid City,neighborhood
3786 Wisconsin St,90007,Los Angeles,Apartment,2018,329825,1912,10257,6358,11,17,NA,South Los Angeles,neighborhood
11214 La Maida St,91601,NORTH HOLLYWOOD,SingleFamily,2018,342206,1927,5e3,1120,1,2,957361,North Hollywood,neighborhood
710 W 38th St,90731,SAN PEDRO,SingleFamily,2018,591506,1991,6490,1785,2,3,826764,San Pedro,neighborhood
